,ENPH,FSLR,ICLN,NEE,SEDG,SPY,XLE
2022-03-08,175.99000549316406,79.5199966430664,20.076059341430664,73.43975830078125,328.9100036621094,392.6665344238281,33.37562942504883
2022-03-09,179.8699951171875,78.88999938964844,20.132694244384766,71.97903442382812,326.9800109863281,403.1943054199219,32.35550308227539
2022-03-10,178.72000122070312,76.5,19.849533081054688,71.83565521240234,315.1300048828125,401.3736267089844,33.34550094604492
2022-03-11,171.07000732421875,75.38999938964844,19.54749298095703,71.0649642944336,317.92999267578125,396.2701721191406,33.078636169433594
2022-03-14,157.63999938964844,71.98999786376953,18.8395938873291,71.04703521728516,298.510009765625,393.3740539550781,32.08864212036133
2022-03-15,164.63999938964844,74.95999908447266,19.141630172729492,73.46665954589844,315.75,402.0245056152344,30.91356658935547
2022-03-16,177.2100067138672,77.58999633789062,19.651321411132812,73.94161987304688,334.1600036621094,410.93914794921875,30.77151870727539
2022-03-17,180.85000610351562,78.22000122070312,19.896724700927734,74.10294342041016,314.6000061035156,416.08038330078125,31.830373764038086
2022-03-18,184.52000427246094,77.5999984741211,19.962793350219727,73.816162109375,312.510009765625,420.6376037597656,31.800243377685547
2022-03-21,185.4499969482422,77.38999938964844,19.821218490600586,73.30535888671875,312.0799865722656,420.5145568847656,33.08216857910156
2022-03-22,189.25,79.08000183105469,20.09493637084961,74.24630737304688,325.1099853515625,425.4351806640625,32.83882522583008
2022-03-23,190.19000244140625,77.98999786376953,19.783458709716797,73.9953842163086,327.2699890136719,419.95623779296875,33.40373992919922
2022-03-24,197.83999633789062,79.52999877929688,20.09493637084961,75.00801849365234,337.739990234375,426.286865234375,33.48629379272461
2022-03-25,193.80999755859375,79.6500015258789,19.858970642089844,75.22309875488281,335.2699890136719,428.3686218261719,34.220680236816406
2022-03-28,195.52000427246094,84.08999633789062,19.94391632080078,75.66223907470703,333.07000732421875,431.4156799316406,33.373321533203125
2022-03-29,202.36000061035156,84.58999633789062,20.23651885986328,75.83248901367188,324.5,436.7525634765625,33.28640365600586
2022-03-30,196.64999389648438,81.94000244140625,20.189321517944336,76.62110137939453,314.2300109863281,434.05572509765625,33.673152923583984
2022-03-31,201.77999877929688,83.73999786376953,20.312028884887695,75.91316223144531,322.3699951171875,427.37506103515625,33.216880798339844
2022-04-01,205.88999938964844,84.01000213623047,20.425289154052734,76.80928802490234,322.8299865722656,428.5863037109375,33.48629379272461
2022-04-04,216.3800048828125,83.95999908447266,20.840593338012695,76.7286605834961,335.30999755859375,432.2578430175781,33.52975845336914
2022-04-05,211.22999572753906,80.33000183105469,20.78396224975586,77.36492919921875,328.69000244140625,426.7978210449219,33.00394821166992
2022-04-06,203.99000549316406,78.12999725341797,20.53855323791504,77.50830841064453,320.1600036621094,422.5301818847656,33.19949722290039
2022-04-07,206.9499969482422,78.54000091552734,20.293148040771484,78.03703308105469,314.92999267578125,424.6592712402344,33.6340446472168
2022-04-08,195.13999938964844,77.61000061035156,20.038305282592773,77.14983367919922,301.5799865722656,423.52374267578125,34.55963134765625
2022-04-11,187.8800048828125,78.86000061035156,19.830656051635742,75.79666137695312,300.0299987792969,416.2846984863281,33.521053314208984
2022-04-12,185.9499969482422,79.0999984741211,19.604127883911133,75.17830657958984,301.45001220703125,414.7422790527344,34.07728958129883
2022-04-13,193.22999572753906,79.69999694824219,19.849533081054688,74.87361907958984,308.0,419.4925842285156,34.5857048034668
2022-04-14,190.50999450683594,78.12000274658203,19.61356544494629,74.21044921875,300.6600036621094,414.2691955566406,34.69868469238281
2022-04-18,190.02999877929688,78.66000366210938,19.47198486328125,73.22470092773438,302.2699890136719,414.43951416015625,35.20710372924805
2022-04-19,195.60000610351562,78.7300033569336,19.87784767150879,73.33222198486328,304.82000732421875,421.12969970703125,34.92031478881836
2022-04-20,178.52999877929688,76.93000030517578,19.528615951538086,73.04545593261719,281.6099853515625,420.8173828125,35.05501174926758
2022-04-21,156.55999755859375,74.43000030517578,18.5753116607666,68.26897430419922,254.14999389648438,414.5246887207031,33.942569732666016
2022-04-22,153.6300048828125,72.37000274658203,18.263835906982422,66.27053833007812,251.5800018310547,403.1504211425781,33.11257553100586
2022-04-25,157.60000610351562,72.44999694824219,18.263835906982422,66.35120391845703,253.49000549316406,405.48773193359375,32.01752471923828
2022-04-26,153.8300018310547,71.44000244140625,17.763586044311523,65.93000030517578,244.75999450683594,393.7445068359375,32.060977935791016
2022-04-27,165.7100067138672,72.13999938964844,17.98067283630371,65.6611557006836,249.47999572753906,394.8516540527344,32.53029251098633
2022-04-28,164.47000122070312,72.26000213623047,18.056180953979492,65.85830688476562,254.41000366210938,404.8253173828125,33.51671600341797
2022-04-29,161.39999389648438,73.02999877929688,17.782461166381836,63.64480972290039,250.41000366210938,389.86480712890625,32.656314849853516
2022-05-02,168.3300018310547,73.63999938964844,17.81077766418457,62.61423110961914,255.30999755859375,392.2115173339844,33.17776870727539
2022-05-03,174.52999877929688,75.11000061035156,18.093936920166016,63.41179656982422,262.6700134277344,394.009521484375,34.107696533203125
2022-05-04,191.94000244140625,78.69999694824219,18.849031448364258,65.47296905517578,284.6000061035156,406.00823974609375,35.524330139160156
2022-05-05,181.13999938964844,76.41000366210938,18.11281394958496,64.37965393066406,266.2300109863281,391.5775451660156,34.98983383178711
2022-05-06,165.88999938964844,72.13999938964844,17.527616500854492,64.94422912597656,251.80999755859375,389.2402038574219,36.03274917602539
2022-05-09,150.50999450683594,68.25,16.47992515563965,63.367008209228516,225.36000061035156,376.77783203125,33.05175018310547
2022-05-10,151.64999389648438,67.58000183105469,16.47048568725586,62.721771240234375,233.8000030517578,377.64837646484375,33.35158920288086
2022-05-11,137.5500030517578,61.720001220703125,15.989112854003906,62.90995407104492,216.52000427246094,371.6490478515625,33.799171447753906
2022-05-12,140.94000244140625,61.400001525878906,15.875850677490234,61.395477294921875,211.9199981689453,371.2610168457031,33.942569732666016
2022-05-13,157.7899932861328,64.25,16.64982032775879,62.55152130126953,232.25,380.1370849609375,35.10280990600586
2022-05-16,151.02999877929688,62.77000045776367,16.51767921447754,62.83827209472656,222.7899932861328,378.59466552734375,36.028411865234375
2022-05-17,158.11000061035156,65.4000015258789,17.216142654418945,64.54096221923828,239.35000610351562,386.3825378417969,36.44557189941406
2022-05-18,156.1699981689453,65.36000061035156,17.14063262939453,63.62688064575195,238.8000030517578,370.8067626953125,35.511287689208984
2022-05-19,165.5399932861328,66.47000122070312,17.801340103149414,63.142974853515625,252.17999267578125,368.5357666015625,35.380924224853516
2022-05-20,168.25,65.7699966430664,17.895723342895508,63.824039459228516,256.80999755859375,368.6966552734375,35.53301239013672
2022-05-23,169.5500030517578,66.05999755859375,18.11281394958496,65.01592254638672,255.6300048828125,375.59503173828125,36.47163772583008
2022-05-24,162.50999450683594,64.58999633789062,17.848533630371094,66.915771484375,248.22999572753906,372.72772216796875,36.61069869995117
2022-05-25,169.27999877929688,66.04000091552734,18.103378295898438,67.02328491210938,253.4499969482422,376.0207214355469,37.3668098449707
2022-05-26,178.77999877929688,68.08000183105469,18.556432723999023,67.24735260009766,266.44000244140625,383.53424072265625,37.77963638305664
2022-05-27,188.9499969482422,72.01000213623047,19.009489059448242,69.78438568115234,280.3599853515625,392.9496765136719,38.4705696105957
2022-05-31,186.19000244140625,70.61000061035156,18.764083862304688,68.21619415283203,272.7900085449219,390.74481201171875,37.892616271972656
2022-06-01,182.49000549316406,70.87000274658203,18.546993255615234,68.6488037109375,272.4800109863281,387.584228515625,38.50967788696289
2022-06-02,198.92999267578125,74.23999786376953,19.30208969116211,70.7667465209961,300.489990234375,394.9651794433594,38.38800048828125
2022-06-03,196.33999633789062,74.93000030517578,19.151071548461914,70.91997528076172,298.3399963378906,388.4832763671875,38.896419525146484
2022-06-06,206.97000122070312,71.98999786376953,19.528615951538086,72.27185821533203,306.8800048828125,389.6660461425781,38.852970123291016
2022-06-07,209.6300048828125,72.0,19.69851303100586,71.90233612060547,306.4200134277344,393.4037780761719,40.01321792602539
2022-06-08,204.77000427246094,71.69000244140625,19.453105926513672,70.73971557617188,298.44000244140625,389.1266784667969,40.100120544433594
2022-06-09,200.50999450683594,69.83000183105469,18.92092514038086,69.70327758789062,291.6700134277344,379.87213134765625,39.21364212036133
2022-06-10,196.19000244140625,68.0,18.57880973815918,68.41446685791016,284.3599853515625,368.8575134277344,38.54878616333008
2022-06-13,178.24000549316406,63.130001068115234,17.514448165893555,65.26008605957031,264.3399963378906,354.8526306152344,36.536827087402344
2022-06-14,179.52000427246094,61.95000076293945,17.314882278442383,64.4218978881836,264.6300048828125,353.7833557128906,36.60634994506836
2022-06-15,188.47999572753906,64.02999877929688,17.733022689819336,66.86431121826172,274.1300048828125,358.8269958496094,35.798091888427734
2022-06-16,169.60000610351562,62.0099983215332,17.07729721069336,63.87213134765625,253.97999572753906,346.95123291015625,33.78178787231445
2022-06-17,184.75,66.70999908447266,17.69501304626465,63.81805419921875,275.4100036621094,347.6992492675781,31.934955596923828
2022-06-21,193.2899932861328,68.19999694824219,18.132158279418945,65.54847717285156,283.1000061035156,356.45208740234375,33.58938217163086
2022-06-22,193.42999267578125,67.5999984741211,18.018117904663086,67.31494140625,280.3999938964844,355.8058166503906,32.244754791259766
2022-06-23,200.6699981689453,69.5999984741211,18.36023712158203,69.57709503173828,291.5299987792969,359.29364013671875,31.049530029296875
2022-06-24,198.38999938964844,70.06999969482422,18.445764541625977,70.31613159179688,286.3399963378906,370.7168884277344,31.458189010620117
2022-06-27,206.1699981689453,70.62000274658203,18.70235252380371,70.19895935058594,298.5199890136719,369.3009033203125,32.380977630615234
2022-06-28,190.64999389648438,67.75,18.198678970336914,68.89213562011719,279.239990234375,361.7550048828125,33.25541305541992
2022-06-29,184.63999938964844,66.83999633789062,17.799545288085938,68.49557495117188,262.9599914550781,361.46044921875,32.09973907470703
2022-06-30,195.24000549316406,68.12999725341797,18.103649139404297,69.8114242553711,273.67999267578125,358.5238037109375,31.423032760620117
2022-07-01,195.72000122070312,68.1500015258789,18.36023712158203,72.6053237915039,276.29998779296875,362.3157653808594,31.89321517944336
2022-07-05,192.58999633789062,66.2300033569336,18.094146728515625,71.29849243164062,271.2699890136719,363.0,30.6276798248291
2022-07-06,194.92999267578125,66.16000366210938,18.018117904663086,71.71308135986328,269.7900085449219,364.2259826660156,30.104768753051758
2022-07-07,206.83999633789062,70.63999938964844,18.75937271118164,72.4430923461914,286.8599853515625,369.6810607910156,31.190135955810547
2022-07-08,216.4499969482422,72.51000213623047,18.996952056884766,72.32592010498047,295.1099853515625,369.3769836425781,31.176956176757812
2022-07-11,206.05999755859375,69.29000091552734,18.48377799987793,72.71347045898438,279.6700134277344,365.1573791503906,30.878141403198242
2022-07-12,189.47000122070312,68.41999816894531,18.15116310119629,72.0555648803711,265.3699951171875,361.92608642578125,30.276142120361328
2022-07-13,192.6300048828125,69.16000366210938,18.255699157714844,72.33495330810547,269.0299987792969,360.025390625,30.22780990600586
2022-07-14,196.9199981689453,71.04000091552734,18.17967414855957,72.21778106689453,269.0199890136719,359.1510925292969,29.656557083129883
2022-07-15,194.91000366210938,65.2699966430664,17.87557029724121,70.93798828125,265.8500061035156,366.0126647949219,30.139915466308594
2022-07-18,206.42999267578125,67.01000213623047,18.2366943359375,69.85647583007812,280.67999267578125,362.9905090332031,30.829814910888672
2022-07-19,213.33999633789062,70.6500015258789,18.569305419921875,71.13626861572266,290.29998779296875,372.7981872558594,31.778963088989258
2022-07-20,218.8300018310547,72.9800033569336,18.673843383789062,70.58650207519531,295.8599853515625,375.1741027832031,32.08655548095703
2022-07-21,219.77999877929688,73.26000213623047,18.63582992553711,71.08220672607422,292.9800109863281,378.9946594238281,31.524097442626953
2022-07-22,211.5399932861328,72.58999633789062,18.531293869018555,72.32592010498047,288.92999267578125,375.4782409667969,31.264841079711914
2022-07-25,218.5500030517578,74.1500015258789,18.768875122070312,72.98385620117188,299.3800048828125,375.9344787597656,32.41172790527344
2022-07-26,216.10000610351562,73.56999969482422,18.474279403686523,72.01951599121094,296.4800109863281,371.48681640625,32.1173095703125
2022-07-27,254.77000427246094,76.76000213623047,19.34857749938965,72.4430923461914,325.19000244140625,381.1329650878906,32.84236145019531
2022-07-28,274.17999267578125,88.5,20.707536697387695,76.19232940673828,341.19000244140625,385.91326904296875,33.026912689208984
2022-07-29,284.17999267578125,99.16999816894531,21.182695388793945,76.14725494384766,360.1300048828125,391.53936767578125,34.459442138671875
2022-08-01,280.8900146484375,99.48999786376953,20.916603088378906,76.88629150390625,358.5899963378906,390.3798828125,33.74757766723633
2022-08-02,292.260009765625,99.72000122070312,21.182695388793945,77.21074676513672,365.4100036621094,387.8044738769531,33.6684684753418
2022-08-03,290.25,97.88999938964844,20.73604393005371,77.92276000976562,295.5199890136719,393.8773193359375,32.70174789428711
2022-08-04,295.82000732421875,99.16999816894531,21.135177612304688,79.29264831542969,309.2200012207031,393.6111755371094,31.48894691467285
2022-08-05,300.9100036621094,101.9000015258789,21.296735763549805,79.29264831542969,315.5,392.9458312988281,32.112918853759766
2022-08-08,287.739990234375,106.73999786376953,21.391767501831055,78.8780746459961,303.1099853515625,392.4897155761719,32.279911041259766
2022-08-09,290.82000732421875,109.01000213623047,21.467792510986328,80.13982391357422,312.6300048828125,390.9311828613281,32.84675598144531
2022-08-10,303.25,114.51000213623047,22.43712043762207,80.91492462158203,323.739990234375,399.14227294921875,33.08404541015625
2022-08-11,292.8999938964844,114.58000183105469,22.12351417541504,80.5994873046875,319.0199890136719,399.14227294921875,34.22214889526367
2022-08-12,299.260009765625,117.97000122070312,22.380104064941406,81.53679656982422,330.5199890136719,405.89935302734375,34.48141098022461
2022-08-15,301.1300048828125,118.22000122070312,22.351591110229492,82.01445770263672,324.17999267578125,407.57196044921875,33.8090934753418
2022-08-16,292.94000244140625,116.98999786376953,22.066492080688477,81.59086608886719,311.2699890136719,408.37030029296875,33.730003356933594
2022-08-17,293.1300048828125,116.30000305175781,21.98096466064453,81.29345703125,310.6199951171875,405.4716491699219,34.01122283935547
2022-08-18,294.0,117.81999969482422,22.02848243713379,81.32950592041016,317.2200012207031,406.65008544921875,34.925228118896484
2022-08-19,283.70001220703125,115.41000366210938,21.420276641845703,80.85183715820312,300.3299865722656,401.1855163574219,34.91643524169922
2022-08-22,280.760009765625,114.4800033569336,21.087663650512695,79.79735565185547,288.8399963378906,392.8318786621094,34.850521087646484
2022-08-23,285.4100036621094,114.41999816894531,21.125673294067383,79.29264831542969,288.4599914550781,391.8815002441406,36.10725784301758
2022-08-24,293.0899963378906,118.44000244140625,21.54381561279297,79.9505615234375,294.6099853515625,393.1360778808594,36.551082611083984
2022-08-25,299.80999755859375,121.69000244140625,21.990467071533203,80.56341552734375,300.739990234375,398.6860656738281,36.83230972290039
2022-08-26,288.5899963378906,121.75,21.486799240112305,79.36475372314453,287.92999267578125,385.1910095214844,36.40168380737305
2022-08-29,284.82000732421875,121.69000244140625,21.24921989440918,78.80778503417969,279.4599914550781,382.64398193359375,36.950950622558594
2022-08-30,285.7699890136719,122.30999755859375,21.040143966674805,77.61235809326172,275.5,378.4433898925781,35.6986083984375
2022-08-31,286.44000244140625,127.55000305175781,21.07815933227539,77.03275299072266,275.9700012207031,375.56378173828125,35.3734245300293
2022-09-01,281.8599853515625,127.83999633789062,20.707536697387695,78.11951446533203,269.32000732421875,376.7422180175781,34.50337219238281
2022-09-02,279.07000732421875,126.41000366210938,20.374921798706055,77.07804107666016,267.1199951171875,372.7697448730469,35.13615036010742
2022-09-06,292.82000732421875,127.5999984741211,20.593496322631836,79.12476348876953,278.3800048828125,371.3632507324219,34.81097412109375
2022-09-07,316.30999755859375,134.8000030517578,21.591333389282227,81.72392272949219,311.364990234375,378.03472900390625,34.406700134277344
2022-09-08,317.4100036621094,137.52999877929688,21.733884811401367,81.75108337402344,314.1600036621094,380.5057067871094,34.55611038208008
2022-09-09,305.70001220703125,135.82000732421875,21.79090118408203,81.41600799560547,313.0,386.41693115234375,35.41737365722656
2022-09-12,308.92999267578125,136.7899932861328,21.942955017089844,82.24011993408203,316.20001220703125,390.57000732421875,36.06772232055664
2022-09-13,305.5,136.75999450683594,21.363256454467773,80.47415161132812,313.17999267578125,373.5870666503906,35.15810775756836
2022-09-14,320.6199951171875,135.75999450683594,21.69586944580078,80.49226379394531,322.70001220703125,375.01263427734375,36.151214599609375
2022-09-15,312.17999267578125,132.02000427246094,21.087663650512695,77.89312744140625,313.25,370.75494384765625,35.219635009765625
2022-09-16,318.010009765625,135.80999755859375,21.011640548706055,76.78823852539062,310.510009765625,367.926513671875,34.468223571777344
2022-09-19,316.2300109863281,137.0399932861328,20.95461654663086,78.64476776123047,307.95001220703125,370.77972412109375,34.488651275634766
